NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,30,Número-índice,0.0000000608117,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198212,dezembro 1982
1,Brasil,30,Número-índice,0.0000000660665,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198301,janeiro 1983
1,Brasil,30,Número-índice,0.0000000712581,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198302,fevereiro 1983
1,Brasil,30,Número-índice,0.0000000764919,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198303,março 1983
1,Brasil,30,Número-índice,0.0000000815245,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198304,abril 1983
1,Brasil,30,Número-índice,0.0000000868097,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198305,maio 1983
1,Brasil,30,Número-índice,0.0000000953868,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198306,junho 1983
1,Brasil,30,Número-índice,0.0000001050003,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198307,julho 1983
1,Brasil,30,Número-índice,0.0000001145671,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198308,agosto 1983
1,Brasil,30,Número-índice,0.0000001263682,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198309,setembro 1983
1,Brasil,30,Número-índice,0.0000001375727,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198310,outubro 1983
1,Brasil,30,Número-índice,0.0000001477314,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198311,novembro 1983
1,Brasil,30,Número-índice,0.0000001605502,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198312,dezembro 1983
1,Brasil,30,Número-índice,0.0000001760737,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198401,janeiro 1984
1,Brasil,30,Número-índice,0.0000001928020,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198402,fevereiro 1984
1,Brasil,30,Número-índice,0.0000002100357,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198403,março 1984
1,Brasil,30,Número-índice,0.0000002300794,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198404,abril 1984
1,Brasil,30,Número-índice,0.0000002509021,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198405,maio 1984
1,Brasil,30,Número-índice,0.0000002761935,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198406,junho 1984
1,Brasil,30,Número-índice,0.0000003030524,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198407,julho 1984
1,Brasil,30,Número-índice,0.0000003313854,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198408,agosto 1984
1,Brasil,30,Número-índice,0.0000003703168,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198409,setembro 1984
1,Brasil,30,Número-índice,0.0000004089675,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198410,outubro 1984
1,Brasil,30,Número-índice,0.0000004520168,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198411,novembro 1984
1,Brasil,30,Número-índice,0.0000005061559,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198412,dezembro 1984
1,Brasil,30,Número-índice,0.0000005656761,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198501,janeiro 1985
1,Brasil,30,Número-índice,0.0000006271382,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198502,fevereiro 1985
1,Brasil,30,Número-índice,0.0000006908698,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198503,março 1985
1,Brasil,30,Número-índice,0.0000007474889,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198504,abril 1985
1,Brasil,30,Número-índice,0.0000008012770,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198505,maio 1985
1,Brasil,30,Número-índice,0.0000008693369,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198506,junho 1985
1,Brasil,30,Número-índice,0.0000009589916,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198507,julho 1985
1,Brasil,30,Número-índice,0.0000010745459,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198508,agosto 1985
1,Brasil,30,Número-índice,0.0000011940075,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198509,setembro 1985
1,Brasil,30,Número-índice,0.0000013207687,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198510,outubro 1985
1,Brasil,30,Número-índice,0.0000015053189,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198511,novembro 1985
1,Brasil,30,Número-índice,0.0000017322163,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198512,dezembro 1985
1,Brasil,30,Número-índice,0.0000019811765,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198601,janeiro 1986
1,Brasil,30,Número-índice,0.0000022331080,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198602,fevereiro 1986
1,Brasil,30,Número-índice,0.0000023396314,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198603,março 1986
1,Brasil,30,Número-índice,0.0000023578806,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198604,abril 1986
1,Brasil,30,Número-índice,0.0000023908694,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198605,maio 1986
1,Brasil,30,Número-índice,0.0000024212846,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198606,junho 1986
1,Brasil,30,Número-índice,0.0000024626960,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198607,julho 1986
1,Brasil,30,Número-índice,0.0000025501983,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198608,agosto 1986
1,Brasil,30,Número-índice,0.0000025939494,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198609,setembro 1986
1,Brasil,30,Número-índice,0.0000026433156,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198610,outubro 1986
1,Brasil,30,Número-índice,0.0000027874369,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198611,novembro 1986
1,Brasil,30,Número-índice,0.0000031121777,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198612,dezembro 1986
1,Brasil,30,Número-índice,0.0000035232510,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198701,janeiro 1987
1,Brasil,30,Número-índice,0.0000039684829,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198702,fevereiro 1987
1,Brasil,30,Número-índice,0.0000046181985,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198703,março 1987
1,Brasil,30,Número-índice,0.0000055002395,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198704,abril 1987
1,Brasil,30,Número-índice,0.0000066801157,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198705,maio 1987
1,Brasil,30,Número-índice,0.0000079968603,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198706,junho 1987
1,Brasil,30,Número-índice,0.0000087333762,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198707,julho 1987
1,Brasil,30,Número-índice,0.0000091587212,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198708,agosto 1987
1,Brasil,30,Número-índice,0.0000098713730,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198709,setembro 1987
1,Brasil,30,Número-índice,0.0000109789545,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198710,outubro 1987
1,Brasil,30,Número-índice,0.0000126344777,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198711,novembro 1987
1,Brasil,30,Número-índice,0.0000144221901,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198712,dezembro 1987
1,Brasil,30,Número-índice,0.0000171464570,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198801,janeiro 1988
1,Brasil,30,Número-índice,0.0000198384369,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198802,fevereiro 1988
1,Brasil,30,Número-índice,0.0000233301029,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198803,março 1988
1,Brasil,30,Número-índice,0.0000278303890,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198804,abril 1988
1,Brasil,30,Número-índice,0.0000326783343,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198805,maio 1988
1,Brasil,30,Número-índice,0.0000398675537,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198806,junho 1988
1,Brasil,30,Número-índice,0.0000486025677,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198807,julho 1988
1,Brasil,30,Número-índice,0.0000590958147,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198808,agosto 1988
1,Brasil,30,Número-índice,0.0000753176493,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198809,setembro 1988
1,Brasil,30,Número-índice,0.0000946139936,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198810,outubro 1988
1,Brasil,30,Número-índice,0.0001210492553,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198811,novembro 1988
1,Brasil,30,Número-índice,0.0001557904426,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198812,dezembro 1988
1,Brasil,30,Número-índice,0.0002141963000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198901,janeiro 1989
1,Brasil,30,Número-índice,0.0002501384201,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198902,fevereiro 1989
1,Brasil,30,Número-índice,0.0002671978428,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198903,março 1989
1,Brasil,30,Número-índice,0.0002894554586,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198904,abril 1989
1,Brasil,30,Número-índice,0.0003413257896,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198905,maio 1989
1,Brasil,30,Número-índice,0.0004391155989,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198906,junho 1989
1,Brasil,30,Número-índice,0.0005609261703,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198907,julho 1989
1,Brasil,30,Número-índice,0.0007500144816,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198908,agosto 1989
1,Brasil,30,Número-índice,0.0010317199110,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198909,setembro 1989
1,Brasil,30,Número-índice,0.0014420348808,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198910,outubro 1989
1,Brasil,30,Número-índice,0.0021316159803,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198911,novembro 1989
1,Brasil,30,Número-índice,0.0032293981927,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198912,dezembro 1989
1,Brasil,30,Número-índice,0.0054108567454,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199001,janeiro 1990
1,Brasil,30,Número-índice,0.0095084984833,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199002,fevereiro 1990
1,Brasil,30,Número-índice,0.0173425503510,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199003,março 1990
1,Brasil,30,Número-índice,0.0200341140678,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199004,abril 1990
1,Brasil,30,Número-índice,0.0215547032441,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199005,maio 1990
1,Brasil,30,Número-índice,0.0240873809519,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199006,junho 1990
1,Brasil,30,Número-índice,0.0271994704920,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199007,julho 1990
1,Brasil,30,Número-índice,0.0307027623187,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199008,agosto 1990
1,Brasil,30,Número-índice,0.0351270304097,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199009,setembro 1990
1,Brasil,30,Número-índice,0.0401712720553,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199010,outubro 1990
1,Brasil,30,Número-índice,0.0469240627842,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199011,novembro 1990
1,Brasil,30,Número-índice,0.0555768600186,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199012,dezembro 1990
1,Brasil,30,Número-índice,0.0671090584724,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199101,janeiro 1991
1,Brasil,30,Número-índice,0.0810143888491,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199102,fevereiro 1991
1,Brasil,30,Número-índice,0.0906736471203,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199103,março 1991
1,Brasil,30,Número-índice,0.0951976035258,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199104,abril 1991
1,Brasil,30,Número-índice,0.1022725378062,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199105,maio 1991
1,Brasil,30,Número-índice,0.1137158132840,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199106,junho 1991
1,Brasil,30,Número-índice,0.1278267780427,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199107,julho 1991
1,Brasil,30,Número-índice,0.1478066592194,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199108,agosto 1991
1,Brasil,30,Número-índice,0.1709099599291,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199109,setembro 1991
1,Brasil,30,Número-índice,0.2054843245466,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199110,outubro 1991
1,Brasil,30,Número-índice,0.2572875157699,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199111,novembro 1991
1,Brasil,30,Número-índice,0.3182886773263,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199112,dezembro 1991
1,Brasil,30,Número-índice,0.4008536605699,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199201,janeiro 1992
1,Brasil,30,Número-índice,0.4983410307284,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199202,fevereiro 1992
1,Brasil,30,Número-índice,0.6049874674181,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199203,março 1992
1,Brasil,30,Número-índice,0.7255614652283,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199204,abril 1992
1,Brasil,30,Número-índice,0.9059361644186,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199205,maio 1992
1,Brasil,30,Número-índice,1.0890285720637,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199206,junho 1992
1,Brasil,30,Número-índice,1.3267641484791,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199207,julho 1992
1,Brasil,30,Número-índice,1.6205100844213,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199208,agosto 1992
1,Brasil,30,Número-índice,2.0196408623306,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199209,setembro 1992
1,Brasil,30,Número-índice,2.5293973801068,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199210,outubro 1992
1,Brasil,30,Número-índice,3.0982598885128,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199211,novembro 1992
1,Brasil,30,Número-índice,3.8802596550900,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199212,dezembro 1992
1,Brasil,30,Número-índice,5.0579166458253,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199301,janeiro 1993
1,Brasil,30,Número-índice,6.3213843084293,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199302,fevereiro 1993
1,Brasil,30,Número-índice,8.0445948724789,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199303,março 1993
1,Brasil,30,Número-índice,10.2769672819025,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199304,abril 1993
1,Brasil,30,Número-índice,13.1226581300609,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199305,maio 1993
1,Brasil,30,Número-índice,17.0686429798089,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199306,junho 1993
1,Brasil,30,Número-índice,22.3121307612362,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199307,julho 1993
1,Brasil,30,Número-índice,29.6662109364145,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199308,agosto 1993
1,Brasil,30,Número-índice,40.2540807309468,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199309,setembro 1993
1,Brasil,30,Número-índice,53.9082648348533,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199310,outubro 1993
1,Brasil,30,Número-índice,73.0780465845240,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199311,novembro 1993
1,Brasil,30,Número-índice,100.0000000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199312,dezembro 1993
1,Brasil,30,Número-índice,141.3100000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199401,janeiro 1994
1,Brasil,30,Número-índice,198.2200000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199402,fevereiro 1994
1,Brasil,30,Número-índice,282.9600000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199403,março 1994
1,Brasil,30,Número-índice,403.7300000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199404,abril 1994
1,Brasil,30,Número-índice,581.4900000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199405,maio 1994
1,Brasil,30,Número-índice,857.2900000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199406,junho 1994
1,Brasil,30,Número-índice,915.9300000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199407,julho 1994
1,Brasil,30,Número-índice,932.9700000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199408,agosto 1994
1,Brasil,30,Número-índice,947.2400000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199409,setembro 1994
1,Brasil,30,Número-índice,972.0600000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199410,outubro 1994
1,Brasil,30,Número-índice,999.3700000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199411,novembro 1994
1,Brasil,30,Número-índice,1016.4600000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199412,dezembro 1994
1,Brasil,30,Número-índice,1033.7400000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199501,janeiro 1995
1,Brasil,30,Número-índice,1044.2800000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199502,fevereiro 1995
1,Brasil,30,Número-índice,1060.4700000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199503,março 1995
1,Brasil,30,Número-índice,1086.2400000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199504,abril 1995
1,Brasil,30,Número-índice,1115.2400000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199505,maio 1995
1,Brasil,30,Número-índice,1140.4400000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199506,junho 1995
1,Brasil,30,Número-índice,1167.3500000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199507,julho 1995
1,Brasil,30,Número-índice,1178.9100000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199508,agosto 1995
1,Brasil,30,Número-índice,1190.5800000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199509,setembro 1995
1,Brasil,30,Número-índice,1207.3700000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199510,outubro 1995
1,Brasil,30,Número-índice,1225.1200000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199511,novembro 1995
1,Brasil,30,Número-índice,1244.2300000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199512,dezembro 1995
1,Brasil,30,Número-índice,1260.9000000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199601,janeiro 1996
1,Brasil,30,Número-índice,1273.8900000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199602,fevereiro 1996
1,Brasil,30,Número-índice,1278.3500000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199603,março 1996
1,Brasil,30,Número-índice,1294.4600000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199604,abril 1996
1,Brasil,30,Número-índice,1310.2500000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199605,maio 1996
1,Brasil,30,Número-índice,1325.8400000000000,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199606,junho 1996
